SEASON,TEAM_NAME,TEAM_ID,Wins,ORTG,DRTG,eFG_Percent,TS_Percent,TOV_Percent,FG3_Percent,FG_Percent,Team_3s_Attempted,Team_2s_Attempted
2021-22,Atlanta Hawks,1610612737,43,115.4,113.7,0.543,0.581,0.12,0.374,0.47,2821,4420
2021-22,Boston Celtics,1610612738,51,113.6,106.2,0.542,0.578,0.139,0.356,0.466,3044,4123
2021-22,Brooklyn Nets,1610612751,44,113.2,112.3,0.54,0.576,0.141,0.361,0.475,2602,4649
2021-22,Charlotte Hornets,1610612766,43,113.6,113.1,0.544,0.572,0.131,0.365,0.468,3130,4367
2021-22,Chicago Bulls,1610612741,46,112.7,113.2,0.541,0.579,0.13,0.369,0.48,2364,4763
2021-22,Cleveland Cavaliers,1610612739,44,111.0,108.9,0.538,0.571,0.148,0.355,0.469,2686,4254
2021-22,Dallas Mavericks,1610612742,52,112.5,109.1,0.538,0.572,0.13,0.35,0.461,3063,3919
2021-22,Denver Nuggets,1610612743,48,113.8,111.5,0.556,0.59,0.146,0.353,0.483,2944,4135
2021-22,Detroit Pistons,1610612765,23,105.6,113.3,0.494,0.533,0.143,0.326,0.431,2838,4429
2021-22,Golden State Warriors,1610612744,53,112.1,106.6,0.552,0.582,0.15,0.364,0.469,3231,3856
2021-22,Houston Rockets,1610612745,20,108.1,116.4,0.534,0.565,0.162,0.349,0.456,3170,3913
2021-22,Indiana Pacers,1610612754,25,111.9,115.5,0.531,0.564,0.145,0.344,0.463,2899,4439
2021-22,LA Clippers,1610612746,42,109.5,109.5,0.531,0.564,0.139,0.374,0.458,2802,4368
2021-22,Los Angeles Lakers,1610612747,33,110.0,112.8,0.537,0.567,0.142,0.347,0.469,2826,4453
2021-22,Memphis Grizzlies,1610612763,56,114.3,108.9,0.522,0.553,0.13,0.353,0.461,2679,5060
2021-22,Miami Heat,1610612748,53,113.0,108.4,0.547,0.584,0.149,0.379,0.467,2936,4018
2021-22,Milwaukee Bucks,1610612749,51,114.3,111.1,0.546,0.58,0.133,0.366,0.468,3151,4180
2021-22,Minnesota Timberwolves,1610612750,46,113.8,111.0,0.539,0.573,0.141,0.358,0.457,3386,4072
2021-22,New Orleans Pelicans,1610612740,36,111.2,112.0,0.517,0.557,0.143,0.332,0.457,2629,4583
2021-22,New York Knicks,1610612752,37,109.7,110.2,0.513,0.55,0.137,0.357,0.437,3029,4040
2021-22,Oklahoma City Thunder,1610612760,24,103.8,111.7,0.497,0.53,0.14,0.323,0.43,3066,4244
2021-22,Orlando Magic,1610612753,22,103.9,112.1,0.503,0.538,0.144,0.331,0.434,3022,4218
2021-22,Philadelphia 76ers,1610612755,51,113.0,110.2,0.534,0.578,0.129,0.364,0.466,2608,4324
2021-22,Phoenix Suns,1610612756,64,114.2,106.8,0.549,0.581,0.129,0.364,0.485,2616,4773
2021-22,Portland Trail Blazers,1610612757,27,107.3,116.3,0.515,0.55,0.146,0.346,0.442,3017,4127
2021-22,Sacramento Kings,1610612758,30,109.6,114.8,0.525,0.561,0.14,0.344,0.46,2722,4501
2021-22,San Antonio Spurs,1610612759,34,111.9,111.7,0.527,0.556,0.126,0.352,0.467,2626,4975
2021-22,Toronto Raptors,1610612761,48,112.1,109.9,0.51,0.543,0.128,0.349,0.445,2808,4681
2021-22,Utah Jazz,1610612762,49,116.2,110.0,0.555,0.589,0.143,0.36,0.471,3308,3759
2021-22,Washington Wizards,1610612764,35,110.2,113.6,0.532,0.568,0.133,0.342,0.472,2512,4544
