SEASON,TEAM_NAME,TEAM_ID,Wins,ORTG,DRTG,eFG_Percent,TS_Percent,TOV_Percent,FG3_Percent,FG_Percent,Team_3s_Attempted,Team_2s_Attempted,Weighted_Avg_Height_x,Weighted_Avg_Wingspan_x,Weighted_Avg_Height_y,Weighted_Avg_Wingspan_y
2023-24,Atlanta Hawks,1610612737,36,116.4,118.4,0.539,0.576,0.133,0.364,0.465,3092,4492,78.02348892725621,83.20589608173547,78.02348892725621,83.20589608173547
2023-24,Boston Celtics,1610612738,64,122.2,110.6,0.578,0.609,0.121,0.388,0.487,3482,3914,78.41124084087876,82.28881219359992,78.41124084087876,82.28881219359992
2023-24,Brooklyn Nets,1610612751,32,112.4,115.4,0.531,0.561,0.134,0.362,0.456,3010,4297,77.20594346454688,82.17880635170386,77.20594346454688,82.17880635170386
2023-24,Charlotte Hornets,1610612766,21,108.6,119.2,0.529,0.56,0.14,0.355,0.46,2788,4345,78.5485688788067,82.16483602109324,78.5485688788067,82.16483602109324
2023-24,Chicago Bulls,1610612741,39,114.0,115.7,0.534,0.568,0.124,0.358,0.47,2630,4709,77.56073831784796,81.97930679347596,77.56073831784796,81.97930679347596
2023-24,Cleveland Cavaliers,1610612739,48,114.7,112.1,0.557,0.586,0.138,0.367,0.479,3016,4131,77.63761397135225,82.07130239586392,77.63761397135225,82.07130239586392
2023-24,Dallas Mavericks,1610612742,50,117.0,114.9,0.562,0.592,0.124,0.369,0.481,3242,4110,78.31148133986426,82.95901835384547,78.31148133986426,82.95901835384547
2023-24,Denver Nuggets,1610612743,57,117.8,112.3,0.562,0.589,0.13,0.374,0.496,2560,4719,78.83968821511532,82.91750636784174,78.83968821511532,82.91750636784174
2023-24,Detroit Pistons,1610612765,14,109.0,118.0,0.526,0.562,0.151,0.348,0.463,2602,4634,77.81944854623747,83.21583724645188,77.81944854623747,83.21583724645188
2023-24,Golden State Warriors,1610612744,46,116.9,114.5,0.557,0.586,0.142,0.38,0.477,3191,4324,77.18118526041883,81.24614679279405,77.18118526041883,81.24614679279405
2023-24,Houston Rockets,1610612745,41,113.7,112.8,0.529,0.565,0.127,0.352,0.459,2964,4495,77.50670627670922,80.99700305575139,77.50670627670922,80.99700305575139
2023-24,Indiana Pacers,1610612754,47,120.5,117.6,0.578,0.606,0.126,0.374,0.507,2891,4708,78.27050968316303,82.8481542481238,78.27050968316303,82.8481542481238
2023-24,LA Clippers,1610612746,51,117.9,114.6,0.561,0.599,0.134,0.381,0.489,2719,4389,77.83957162165765,83.05243960878231,77.83957162165765,83.05243960878231
2023-24,Los Angeles Lakers,1610612747,47,115.4,114.8,0.566,0.601,0.137,0.377,0.499,2572,4605,78.60689416333088,83.69194543195941,78.60689416333088,83.69194543195941
2023-24,Memphis Grizzlies,1610612763,27,106.8,113.7,0.509,0.543,0.152,0.346,0.435,3097,4132,78.66863663097051,82.10133560333676,78.66863663097051,82.10133560333676
2023-24,Miami Heat,1610612748,46,113.3,111.5,0.538,0.578,0.13,0.37,0.465,2765,4257,77.49435580479273,81.8865390037501,77.49435580479273,81.8865390037501
2023-24,Milwaukee Bucks,1610612749,49,117.6,115.0,0.568,0.601,0.128,0.373,0.487,3122,4136,78.27659175858554,83.14516425650865,78.27659175858554,83.14516425650865
2023-24,Minnesota Timberwolves,1610612750,56,114.6,108.4,0.559,0.594,0.144,0.387,0.485,2681,4293,78.4450088570869,84.17567960265066,78.4450088570869,84.17567960265066
2023-24,New Orleans Pelicans,1610612740,49,116.5,111.9,0.558,0.591,0.132,0.383,0.486,2673,4492,77.91584709321084,83.10699807542053,77.91584709321084,83.10699807542053
2023-24,New York Knicks,1610612752,50,117.3,112.4,0.54,0.574,0.138,0.369,0.465,2936,4336,77.13563680293377,81.74632502697185,77.13563680293377,81.74632502697185
2023-24,Oklahoma City Thunder,1610612760,57,118.3,111.0,0.573,0.608,0.125,0.389,0.499,2805,4519,77.95173700328729,82.87184091036843,77.95173700328729,82.87184091036843
2023-24,Orlando Magic,1610612753,47,112.9,110.8,0.541,0.577,0.15,0.352,0.476,2568,4396,78.88597486248091,82.19499893682577,78.88597486248091,82.19499893682577
2023-24,Philadelphia 76ers,1610612755,47,116.2,113.0,0.532,0.574,0.122,0.363,0.464,2733,4598,77.20407671108705,82.46997366403752,77.20407671108705,82.46997366403752
2023-24,Phoenix Suns,1610612756,49,116.8,113.7,0.565,0.603,0.15,0.382,0.493,2671,4392,77.64940728147522,82.9886383259448,77.64940728147522,82.9886383259448
2023-24,Portland Trail Blazers,1610612757,21,107.6,116.6,0.503,0.539,0.154,0.345,0.439,2723,4633,78.26791802148954,84.14034501571979,78.26791802148954,84.14034501571979
2023-24,Sacramento Kings,1610612758,46,116.2,114.4,0.556,0.582,0.131,0.366,0.477,3219,4236,77.99378418971159,81.22701306861228,77.99378418971159,81.22701306861228
2023-24,San Antonio Spurs,1610612759,22,109.3,115.6,0.532,0.563,0.148,0.347,0.462,2983,4453,78.82775928055845,83.45582116827087,78.82775928055845,83.45582116827087
2023-24,Toronto Raptors,1610612761,25,111.8,118.1,0.535,0.566,0.139,0.347,0.471,2712,4644,78.0456805205727,82.72417658177184,78.0456805205727,82.72417658177184
2023-24,Utah Jazz,1610612762,31,114.5,119.6,0.539,0.579,0.155,0.354,0.467,2993,4378,77.89426406295665,82.10409986026455,77.89426406295665,82.10409986026455
2023-24,Washington Wizards,1610612764,15,110.2,118.9,0.538,0.567,0.136,0.348,0.47,2915,4578,78.0022717959617,80.71958472000802,78.0022717959617,80.71958472000802
