PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,SEASON
1630182,Josh Green,1610612742,DAL,60,1539.23,2022-23
1628404,Josh Hart,1610612752,NYK,76,2454.025,2022-23
1631169,Josh Minott,1610612750,MIN,15,96.22333333333333,2022-23
1629006,Josh Okogie,1610612756,PHX,72,1350.59,2022-23
1626196,Josh Richardson,1610612740,NOP,65,1529.6016666666667,2022-23
1630563,Joshua Primo,1610612759,SAS,4,93.36166666666666,2022-23
201950,Jrue Holiday,1610612749,MIL,67,2182.54,2022-23
1629308,Juan Toscano-Anderson,1610612762,UTA,52,700.0583333333333,2022-23
1627823,Juancho Hernangomez,1610612761,TOR,42,613.495,2022-23
1630577,Julian Champagnie,1610612759,SAS,17,320.135,2022-23
203944,Julius Randle,1610612752,NYK,77,2737.2516666666666,2022-23
1630551,Justin Champagnie,1610612738,BOS,5,34.28333333333333,2022-23
203200,Justin Holiday,1610612742,DAL,46,706.1133333333333,2022-23
1628382,Justin Jackson,1610612738,BOS,23,107.42333333333333,2022-23
1631303,Justin Minaya,1610612757,POR,4,88.85,2022-23
1626159,Justise Winslow,1610612757,POR,29,775.7916666666666,2022-23
203994,Jusuf Nurkić,1610612757,POR,52,1391.415,2022-23
1630231,KJ Martin,1610612745,HOU,82,2292.1583333333333,2022-23
1629644,KZ Okpala,1610612758,SAC,35,248.025,2022-23
1630539,Kai Jones,1610612766,CHA,46,549.6266666666667,2022-23
1626157,Karl-Anthony Towns,1610612750,MIN,29,957.05,2022-23
202695,Kawhi Leonard,1610612746,LAC,52,1747.4883333333332,2022-23
1631099,Keegan Murray,1610612758,SAC,80,2381.673333333333,2022-23
1628966,Keita Bates-Diop,1610612759,SAS,67,1452.5883333333334,2022-23
1629640,Keldon Johnson,1610612759,SAS,63,2063.3316666666665,2022-23
203482,Kelly Olynyk,1610612762,UTA,68,1941.5933333333332,2022-23
1626162,Kelly Oubre Jr.,1610612766,CHA,48,1547.5116666666668,2022-23
202689,Kemba Walker,1610612742,DAL,9,143.90166666666667,2022-23
1631112,Kendall Brown,1610612754,IND,6,40.295,2022-23
1629134,Kendrick Nunn,1610612764,WAS,70,963.43,2022-23
1631113,Kennedy Chandler,1610612763,MEM,36,281.5083333333333,2022-23
1631254,Kenneth Lofton Jr.,1610612763,MEM,24,175.95833333333334,2022-23
1629026,Kenrich Williams,1610612760,OKC,53,1205.9816666666666,2022-23
203484,Kentavious Caldwell-Pope,1610612743,DEN,76,2381.2066666666665,2022-23
1631165,Keon Ellis,1610612758,SAC,16,70.86333333333333,2022-23
1630553,Keon Johnson,1610612757,POR,40,416.36,2022-23
1630556,Kessler Edwards,1610612758,SAC,36,385.75333333333333,2022-23
201142,Kevin Durant,1610612756,PHX,47,1671.7566666666667,2022-23
1628989,Kevin Huerter,1610612758,SAC,75,2202.7766666666666,2022-23
1628995,Kevin Knox II,1610612757,POR,63,951.7233333333334,2022-23
201567,Kevin Love,1610612748,MIA,62,1239.4783333333332,2022-23
1629645,Kevin Porter Jr.,1610612745,HOU,59,2023.8833333333334,2022-23
1630284,Kevon Harris,1610612753,ORL,34,457.04833333333335,2022-23
1626172,Kevon Looney,1610612744,GSW,82,1957.595,2022-23
203920,Khem Birch,1610612759,SAS,20,161.85,2022-23
