PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,SEASON
1630639,A.J. Lawson,1610612761,TOR,26,486.41,2024-25
1631260,AJ Green,1610612749,MIL,73,1659.1416666666667,2024-25
1642358,AJ Johnson,1610612764,WAS,29,638.3866666666667,2024-25
203932,Aaron Gordon,1610612743,DEN,51,1446.7166666666667,2024-25
1628988,Aaron Holiday,1610612745,HOU,62,792.2466666666667,2024-25
1630174,Aaron Nesmith,1610612754,IND,45,1121.6183333333333,2024-25
1630598,Aaron Wiggins,1610612760,OKC,76,1743.9,2024-25
1641745,Adam Flagler,1610612760,OKC,37,202.965,2024-25
1641766,Adama Sanogo,1610612741,CHI,4,21.498333333333335,2024-25
1641737,Adem Bona,1610612755,PHI,58,904.55,2024-25
1642349,Ajay Mitchell,1610612760,OKC,36,596.955,2024-25
201143,Al Horford,1610612738,BOS,60,1658.5733333333333,2024-25
202692,Alec Burks,1610612748,MIA,49,863.4966666666667,2024-25
1627936,Alex Caruso,1610612760,OKC,54,1040.635,2024-25
1642505,Alex Ducas,1610612760,OKC,21,125.34166666666667,2024-25
203458,Alex Len,1610612747,LAL,46,379.79,2024-25
1642024,Alex Reese,1610612755,PHI,15,216.04666666666665,2024-25
1642259,Alex Sarr,1610612764,WAS,67,1814.2283333333332,2024-25
1631214,Alondes Williams,1610612765,DET,1,3.716666666666667,2024-25
1630578,Alperen Sengun,1610612745,HOU,76,2394.9766666666665,2024-25
1641708,Amen Thompson,1610612745,HOU,69,2225.415,2024-25
1629599,Amir Coffey,1610612746,LAC,72,1747.54,2024-25
203083,Andre Drummond,1610612755,PHI,40,750.6333333333333,2024-25
1641748,Andre Jackson Jr.,1610612749,MIL,67,980.0916666666667,2024-25
1629614,Andrew Nembhard,1610612754,IND,65,1880.67,2024-25
203952,Andrew Wiggins,1610612748,MIA,60,1842.2816666666668,2024-25
1629014,Anfernee Simons,1610612757,POR,70,2291.8983333333335,2024-25
1641710,Anthony Black,1610612753,ORL,78,1886.9933333333333,2024-25
203076,Anthony Davis,1610612742,DAL,51,1705.4883333333332,2024-25
1630162,Anthony Edwards,1610612750,MIN,79,2871.0583333333334,2024-25
1630264,Anthony Gill,1610612764,WAS,51,397.575,2024-25
1641817,Anton Watson,1610612752,NYK,9,22.166666666666668,2024-25
1641810,Antonio Reeves,1610612740,NOP,44,659.5583333333333,2024-25
1630574,Ariel Hukporti,1610612752,NYK,25,217.365,2024-25
1642422,Armel Traoré,1610612747,LAL,9,66.66666666666667,2024-25
1641709,Ausar Thompson,1610612765,DET,59,1327.715,2024-25
1630559,Austin Reaves,1610612747,LAL,73,2550.0916666666667,2024-25
1630245,Ayo Dosunmu,1610612741,CHI,46,1393.8833333333334,2024-25
1628389,Bam Adebayo,1610612748,MIA,78,2673.693333333333,2024-25
1631248,Baylor Scheierman,1610612738,BOS,31,383.8883333333333,2024-25
1641767,Ben Sheppard,1610612754,IND,63,1229.5583333333334,2024-25
1627732,Ben Simmons,1610612746,LAC,51,1119.6933333333334,2024-25
1631097,Bennedict Mathurin,1610612754,IND,72,2149.318333333333,2024-25
1641731,Bilal Coulibaly,1610612764,WAS,59,1947.5066666666667,2024-25
202687,Bismack Biyombo,1610612759,SAS,28,527.4866666666667,2024-25
1631104,Blake Wesley,1610612759,SAS,58,683.1066666666667,2024-25
1626171,Bobby Portis,1610612749,MIL,49,1243.68,2024-25
1641752,Bobi Klintman,1610612765,DET,8,42.38166666666667,2024-25
203992,Bogdan Bogdanović,1610612746,LAC,54,1347.6583333333333,2024-25
1629626,Bol Bol,1610612756,PHX,36,448.48333333333335,2024-25
1630538,Bones Hyland,1610612750,MIN,24,238.77,2024-25
203078,Bradley Beal,1610612756,PHX,53,1702.1916666666666,2024-25
1642382,Branden Carlson,1610612760,OKC,32,246.40333333333334,2024-25
1641764,Brandin Podziemski,1610612744,GSW,64,1716.3483333333334,2024-25
1630527,Brandon Boston,1610612740,NOP,42,992.78,2024-25
1629634,Brandon Clarke,1610612763,MEM,64,1206.8616666666667,2024-25
1627742,Brandon Ingram,1610612761,TOR,18,595.0316666666666,2024-25
1641706,Brandon Miller,1610612766,CHA,27,923.565,2024-25
1630314,Brandon Williams,1610612742,DAL,33,487.13,2024-25
1630296,Braxton Key,1610612744,GSW,3,10.825,2024-25
1641729,Brice Sensabaugh,1610612762,UTA,71,1431.9216666666666,2024-25
1642355,Bronny James,1610612747,LAL,27,181.24333333333334,2024-25
201572,Brook Lopez,1610612749,MIL,80,2546.07,2024-25
1628971,Bruce Brown,1610612740,NOP,41,921.53,2024-25
1628981,Bruno Fernando,1610612761,TOR,17,146.58,2024-25
1631121,Bryce McGowens,1610612757,POR,13,32.016666666666666,2024-25
1642267,Bub Carrington,1610612764,WAS,82,2457.79,2024-25
1627741,Buddy Hield,1610612744,GSW,82,1862.9883333333332,2024-25
203468,CJ McCollum,1610612740,NOP,56,1831.6783333333333,2024-25
1630595,Cade Cunningham,1610612765,DET,70,2451.9466666666667,2024-25
