Index,Player,Team,Position,Height,Wingspan,Length
452,Brandin Podziemski,GSW,SG,6'3.75",6'5.5",1.75
453,Dennis Smith Jr.,,PG,6'1.25",6'3",1.75
454,Austin Reaves,LAL,SG,6'4.5",6'6.25",1.75
455,Anthony Black,ORL,PG,6'5.75",6'7.5",1.75
456,Tyler Kolek,NYK,PG,6'1.25",6'2.75",1.5
457,Sam Merrill,CLE,SG,6'3.5",6'5",1.5
458,Coby White,CHI,PG,6'3.5",6'5",1.5
459,Stephen Curry,GSW,PG,6'2",6'3.5",1.5
460,T.J. McConnell,IND,PG,6'0.5",6'2",1.5
461,Maxi Kleber,LAL,C,6'9.25",6'10.75",1.5
462,Marvin Bagley III,MEM,PF,6'10.5",7'0",1.5
463,Jimmy Butler III,GSW,SF,6'6",6'7.5",1.5
464,Pacôme Dadiet,,SG,6'7.5",6'9",1.5
465,Pacome Dadiet,NYK,SG,6'7.5",6'9",1.5
466,Jared McCain,PHI,SG,6'2",6'3.5",1.5
467,Oso Ighodaro,PHX,C,6'9.5",6'11",1.5
468,Reed Sheppard,HOU,PG,6'1.75",6'3.25",1.5
469,Dalano Banton,POR,SG,6'9",6'10.25",1.25
470,Matas Buzelis,CHI,PF,6'8.75",6'10",1.25
471,Kenrich Williams,OKC,SF,6'6",6'7.25",1.25
472,Kevin Huerter,CHI,SG,6'6.25",6'7.5",1.25
473,Joe Harris,,SG,6'4.75",6'6",1.25
474,KJ Martin,UTA,SF,6'6",6'7.25",1.25
475,Jett Howard,ORL,SF,6'8",6'9",1
476,Gordon Hayward,,SF,6'6.75",6'7.75",1
477,Brandon Clarke,MEM,PF,6'7.25",6'8.25",1
478,Filip Petrusev,,PF,6'11",7'0",1
479,Dean Wade,CLE,PF,6'9",6'10",1
480,Evan Fournier,,SG,6'6.5",6'7.5",1
481,Dillon Brooks,HOU,SF,6'5",6'6",1
482,Domantas Sabonis,SAC,C,6'10",6'11",1
483,Christian Braun,DEN,SF,6'5.5",6'6.5",1
484,Corey Kispert,WAS,SF,6'6",6'7",1
485,Tre Mann,CHA,PG,6'3.25",6'4",0.75
486,Emoni Bates,CLE,SF,6'8.25",6'9",0.75
487,Jaylen Wells,MEM,SF,6'6.5",6'7.25",0.75
488,Luke Kennard,MEM,SG,6'4.5",6'5.25",0.75
489,Dario Šarić,DEN,PF,6'9.5",6'10",0.5
490,Amir Coffey,LAC,SF,6'6.75",6'7.25",0.5
491,Johnny Furphy,IND,SF,6'7.5",6'8",0.5
492,Santi Aldama,MEM,PF,6'10.75",6'11",0.25
493,Luke Kornet,BOS,C,7'1",7'1",0
494,Lauri Markkanen,UTA,PF,6'11",6'11",0
495,Davis Bertans,,PF,6'10",6'10",0
496,Kyle Filipowski,UTA,PF,6'10.75",6'10.5",-0.25
497,Deni Avdija,POR,SF,6'8.75",6'8.5",-0.25
498,Mason Plumlee,PHX,C,6'11.25",6'11",-0.25
499,Ty Jerome,CLE,PG,6'4.25",6'4",-0.25
500,Josh Giddey,CHI,SF,6'8",6'7.5",-0.5
501,Desmond Bane,MEM,SG,6'5",6'4.25",-0.75
502,Kyle Kuzma,MIL,PF,6'8",6'7",-1
503,Kelly Olynyk,NOP,C,6'10.75",6'9.75",-1
504,Tyler Herro,MIA,SG,6'4.5",6'3.25",-1.25
505,Svi Mykhailiuk,UTA,SG,6'6.5",6'5",-1.5
