Index,Player,Team,Position,Height,Wingspan,Length
102,D'Angelo Russell,BKN,PG,6'3.25",6'9.75",6.5
103,Devin Carter,SAC,SG,6'2.25",6'8.75",6.5
104,Naz Reid,MIN,C,6'8.75",7'3.25",6.5
105,Herbert Jones,NOP,SF,6'6",7'0.25",6.25
106,Myles Turner,IND,C,6'9.75",7'4",6.25
107,Rui Hachimura,LAL,PF,6'7.75",7'2",6.25
108,Immanuel Quickley,TOR,PG,6'2",6'8.25",6.25
109,Ausar Thompson,DET,SF,6'5.75",7'0",6.25
110,E.J. Liddell,CHI,PF,6'5.5",6'11.75",6.25
111,De'Anthony Melton,BKN,SG,6'2.25",6'8.5",6.25
112,Blake Wesley,SAS,PG,6'3",6'9.25",6.25
113,Jeff Green,HOU,PF,6'7",7'1.25",6.25
114,Dominick Barlow,ATL,PF,6'8.75",7'3",6.25
115,Amen Thompson,HOU,SF,6'5.75",7'0",6.25
116,Nikola Vučević,CHI,C,6'10.25",7'4.5",6.25
117,Olivier-Maxence Prosper,DAL,PF,6'6.75",7'1",6.25
118,Cade Cunningham,DET,SG,6'6",7'0.25",6.25
119,Caleb Martin,DAL,SF,6'4",6'10.25",6.25
120,Bol Bol,PHX,C,7'0.75",7'7",6.25
121,Brook Lopez,MIL,C,6'11.25",7'5.5",6.25
122,Devonte' Graham,,PG,6'0.25",6'6.25",6
123,JD Davison,BOS,PG,6'0.5",6'6.5",6
124,Josh Christopher,MIA,SG,6'3.25",6'9.25",6
125,Jonas Valančiūnas,SAC,C,6'11",7'5",6
126,Anthony Edwards,MIN,SG,6'3",6'9",6
127,AJ Griffin,,SF,6'5.5",6'11.5",6
128,Otto Porter Jr.,,PF,6'7.5",7'1.5",6
129,Usman Garuba,,PF,6'8",7'2",6
130,Ricky Rubio,,PG,6'3",6'9",6
131,Bam Adebayo,MIA,C,6'8.75",7'2.75",6
132,Victor Oladipo,,SG,6'3.25",6'9.25",6
133,Cam Reddish,LAL,SF,6'6.5",7'0.5",6
134,Boban Marjanovic,,C,7'4",7'10",6
135,Cason Wallace,OKC,PG,6'2.5",6'8.5",6
136,Chet Holmgren,OKC,C,7'0",7'6",6
137,Robin Lopez,,C,6'11.5",7'5.5",6
138,Christian Wood,,PF,6'9.25",7'3.25",6
139,Damian Lillard,MIL,PG,6'1.75",6'7.75",6
140,Dejounte Murray,NOP,PG,6'4",6'10",6
141,Orlando Robinson,TOR,C,6'10",7'4",6
142,Dereck Lively II,DAL,C,7'1",7'7",6
143,Derrick Jones Jr.,LAC,PF,6'6",7'0",6
144,Nathan Knight,,PF,6'8",7'2",6
145,Gary Payton II,GSW,SG,6'2",6'8",6
146,Markelle Fultz,SAC,PG,6'3",6'9",6
147,Malaki Branham,SAS,SG,6'4",6'10",6
148,Larry Nance Jr.,ATL,C,6'7.5",7'1.5",6
149,Kris Dunn,LAC,PG,6'3",6'9",6
150,Justin Holiday,,SG,6'5.5",6'11.5",6
151,Jalen Hood-Schifino,PHI,PG,6'4.25",6'10.25",6
152,Marcus Sasser,DET,PG,6'1.25",6'7",5.75
153,Ja'Kobe Walter,TOR,PG,6'4.25",6'10",5.75
154,Bruce Brown,NOP,SG,6'3.25",6'9",5.75
155,Onyeka Okongwu,ATL,C,6'8.25",7'2",5.75
156,Steven Adams,HOU,C,6'10.75",7'4.5",5.75
157,Ochai Agbaji,TOR,SG,6'4.5",6'10.25",5.75
158,Luguentz Dort,OKC,SG,6'2.75",6'8.5",5.75
159,Peyton Watson,DEN,SF,6'6.75",7'0.5",5.75
160,Bronny James,LAL,PG,6'1.5",6'7.25",5.75
161,Maxwell Lewis,BKN,SG,6'6.25",7'0",5.75
162,Thaddeus Young,,PF,6'5.75",6'11.5",5.75
163,TyTy Washington Jr.,PHX,PG,6'2.25",6'8",5.75
164,Damian Jones,,C,6'10.25",7'3.75",5.5
165,Toumani Camara,POR,PF,6'7",7'0.5",5.5
166,Guerschon Yabusele,PHI,PF,6'7.5",7'1",5.5
167,Bogdan Bogdanović,LAC,SG,6'5.5",6'11",5.5
168,Neemias Queta,BOS,C,6'10.75",7'4.25",5.5
169,Russell Westbrook,DEN,PG,6'2.25",6'7.75",5.5
170,Jordan McLaughlin,SAS,PG,5'11",6'4.5",5.5
171,Cody Martin,PHX,SF,6'4.75",6'10.25",5.5
172,Jaden Ivey,DET,SG,6'3.5",6'9",5.5
173,Jaden Hardy,DAL,SG,6'3.5",6'9",5.5
174,James Wiseman,,C,6'11.5",7'5",5.5
175,Buddy Hield,GSW,SG,6'3.75",6'9.25",5.5
176,Joel Embiid,PHI,C,6'11.75",7'5",5.25
177,Precious Achiuwa,NYK,PF,6'7.5",7'0.75",5.25
178,Moussa Diabaté,CHA,C,6'9.25",7'2.5",5.25
179,Richaun Holmes,WAS,C,6'8.25",7'1.5",5.25
180,Daniel Gafford,DAL,C,6'9.25",7'2.5",5.25
181,Aaron Wiggins,OKC,SG,6'4.5",6'9.75",5.25
182,Jaxson Hayes,LAL,C,6'10.25",7'3.5",5.25
183,Joshua Primo,,SG,6'4",6'9.25",5.25
184,Josh Green,CHA,SG,6'4.5",6'9.75",5.25
185,Jalen Pickett,DEN,PG,6'2",6'7.25",5.25
186,Obi Toppin,IND,PF,6'8.75",7'2",5.25
187,Nickeil Alexander-Walker,MIN,SG,6'4.25",6'9.5",5.25
188,Dorian Finney-Smith,LAL,SF,6'6.5",6'11.75",5.25
189,Andrew Wiggins,MIA,SF,6'7",7'0",5
190,Brandon Boston Jr.,NOP,SG,6'5.75",6'10.75",5
191,Jaylen Clark,MIN,SG,6'4",6'9",5
192,Keon Ellis,SAC,SG,6'3.5",6'8.5",5
193,Devin Vassell,SAS,SG,6'5",6'10",5
194,Mouhamed Gueye,ATL,C,6'10.25",7'3.25",5
195,Colin Castleton,,C,6'11",7'3.5",5
196,Aaron Nesmith,IND,SF,6'5",6'10",5
197,Royce O'Neale,PHX,SF,6'4",6'9",5
198,Jalen Smith,CHI,PF,6'9.25",7'2.25",5
199,Anton Watson,NYK,PF,6'7",7'0",5
200,Josh Richardson,,SF,6'5",6'10",5
201,Evan Mobley,CLE,PF,6'11",7'4",5
202,Donovan Clingan,POR,C,7'1.75",7'6.75",5
203,RJ Barrett,TOR,SF,6'5",6'10",5
204,Troy Brown Jr.,,SF,6'5.75",6'10.75",5
205,Tyrese Maxey,PHI,PG,6'2",6'7",5
206,Alec Burks,MIA,SG,6'5",6'10",5
207,Jericho Sims,MIL,C,6'10",7'3",5
208,Taurean Prince,MIL,SF,6'6.5",6'11.5",5
209,Chuma Okeke,,PF,6'7",7'0",5
210,Kenneth Lofton Jr.,,C,6'6",6'11",5
211,Brice Sensabaugh,UTA,SF,6'6",6'11",5
212,Al Horford,BOS,C,6'8",7'0.75",4.75
213,Leonard Miller,MIN,PF,6'9.25",7'2",4.75
214,Theo Maledon,,PG,6'4",6'8.75",4.75
215,Jordan Clarkson,UTA,SG,6'3.25",6'8",4.75
216,Zeke Nnaji,DEN,PF,6'9.25",7'2",4.75
217,Isaiah Jackson,IND,C,6'9.5",7'2.25",4.75
218,Zion Williamson,NOP,PF,6'5.75",6'10.5",4.75
219,Julian Phillips,CHI,SF,6'6.75",6'11.5",4.75
220,James Bouknight,,SG,6'3.5",6'8.25",4.75
221,Bradley Beal,PHX,SG,6'3.25",6'8",4.75
222,Jaden Springer,UTA,SG,6'3",6'7.75",4.75
223,Nicolas Batum,LAC,SF,6'8.25",7'1",4.75
224,Kel'el Ware,MIA,C,6'11.75",7'4.5",4.75
225,Trayce Jackson-Davis,GSW,C,6'8.25",7'1",4.75
226,Kendall Brown,,SF,6'6.25",6'11",4.75
227,Danny Green,,SG,6'5.25",6'10",4.75
228,De'Aaron Fox,SAS,PG,6'2",6'6.5",4.5
229,Bennedict Mathurin,IND,SF,6'4.5",6'9",4.5
230,Jordan Nwora,,PF,6'5.75",6'10.25",4.5
231,Alexandre Sarr,WAS,PF,6'11.75",7'4.25",4.5
232,Bobby Portis,MIL,PF,6'9.5",7'2",4.5
233,Chimezie Metu,,C,6'8",7'0.5",4.5
234,Dariq Whitehead,BKN,SG,6'5.75",6'10.25",4.5
235,Dyson Daniels,ATL,SG,6'6",6'10.5",4.5
236,Gary Trent Jr.,MIL,SG,6'4.25",6'8.75",4.5
237,Isaiah Joe,OKC,SG,6'3",6'7.5",4.5
238,Ivica Zubac,LAC,C,6'11.5",7'4",4.5
239,Jae Crowder,SAC,PF,6'4.75",6'9.25",4.5
240,Jalen Johnson,ATL,PF,6'7.75",7'0.25",4.5
241,Jarred Vanderbilt,LAL,PF,6'8.5",7'1",4.5
242,Josh Hart,NYK,SF,6'3.75",6'8.25",4.5
243,Karl-Anthony Towns,NYK,C,6'11",7'3.5",4.5
244,Keldon Johnson,SAS,SF,6'4.75",6'9.25",4.5
245,Luka Dončić,LAL,SF,6'6.5",6'11",4.5
246,Max Christie,DAL,SG,6'4.25",6'8.75",4.5
247,Nic Claxton,BKN,C,6'10",7'2.5",4.5
248,Patrick Baldwin Jr.,LAC,PF,6'9.25",7'1.75",4.5
249,Paul Reed,DET,PF,6'9",7'1.5",4.5
250,Tobias Harris,DET,PF,6'6.5",6'11",4.5
251,Trey Lyles,SAC,PF,6'9",7'1.5",4.5
252,Trey Murphy III,NOP,SF,6'7.5",7'0",4.5
253,Tyus Jones,PHX,PG,6'0.5",6'5",4.5
254,Alex Sarr,WAS,PF,6'11.75",7'4.25",4.5
255,Taylor Hendricks,UTA,PF,6'8.25",7'0.5",4.25
256,Josh Minott,MIN,PF,6'7.5",6'11.75",4.25
257,Isaiah Wong,,SG,6'2.5",6'6.75",4.25
258,Aaron Gordon,DEN,PF,6'7.5",6'11.75",4.25
259,Kessler Edwards,DAL,SF,6'7",6'11.25",4.25
260,Julius Randle,MIN,PF,6'7.75",7'0",4.25
261,Davion Mitchell,MIA,PG,6'0",6'4.25",4.25
262,Grayson Allen,PHX,SG,6'3",6'7.25",4.25
263,Bub Carrington,WAS,SG,6'3.75",6'8",4.25
264,Sandro Mamukelashvili,SAS,PF,6'9",7'1.25",4.25
265,Kira Lewis Jr.,,PG,6'0.75",6'5",4.25
266,AJ Johnson,WAS,SG,6'4.25",6'8.5",4.25
267,Ronald Holland II,DET,SG,6'6.5",6'10.75",4.25
268,Derrick White,BOS,SG,6'3.25",6'7.5",4.25
269,Caris LeVert,ATL,SF,6'5.75",6'10",4.25
270,DaRon Holmes II,DEN,C,6'8.75",7'1",4.25
271,Harrison Barnes,SAS,PF,6'7",6'11.25",4.25
272,Johnny Davis,,SG,6'4.25",6'8.5",4.25
273,Sidy Cissoko,POR,SF,6'5.5",6'9.75",4.25
274,Terquavion Smith,,SG,6'2.5",6'6.75",4.25
275,Miles Bridges,CHA,SF,6'5.25",6'9.5",4.25
276,Gary Harris,ORL,SG,6'2.5",6'6.75",4.25
277,Andre Jackson Jr.,MIL,SF,6'5.5",6'9.75",4.25
278,Jaylin Williams,OKC,C,6'8.75",7'1",4.25
279,Jonathan Kuminga,GSW,SF,6'7",6'11.25",4.25
280,Carlton Carrington,WAS,SG,6'3.75",6'8",4.25
281,Dereon Seabron,,SF,6'5",6'8.75",4
282,Trent Forrest,,PG,6'3.5",6'7.5",4
283,Grant Williams,CHA,PF,6'5.75",6'9.75",4
284,Markquis Nowell,,PG,5'8",6'0",4
285,Giannis Antetokounmpo,MIL,PF,6'11",7'3",4
286,Jevon Carter,CHI,PG,6'0.25",6'4.25",4
287,CJ McCollum,NOP,SG,6'2.25",6'6.25",4
288,Pat Connaughton,MIL,SG,6'4",6'8",4
289,Dante' Exum,,SG,6'5",6'9",4
290,Cedi Osman,,SF,6'7",6'11",4
291,Noah Clowney,BKN,PF,6'10",7'2",4
292,Jae'Sean Tate,HOU,PF,6'4",6'8",4
293,Jabari Walker,POR,PF,6'6.75",6'10.75",4
294,Khris Middleton,WAS,SF,6'6.75",6'10.75",4
295,Danté Exum,DAL,SG,6'5",6'9",4
296,Patrick Williams,CHI,SF,6'7",6'11",4
297,Alex Len,LAL,C,6'11.5",7'3.5",4
298,Kris Murray,POR,PF,6'7.75",6'11.75",4
299,Wesley Matthews,,SG,6'4.5",6'8.5",4
300,Harry Giles III,,C,6'11",7'3",4
301,Walker Kessler,UTA,C,7'0.25",7'4.25",4
302,Darius Garland,CLE,PG,6'1",6'5",4
303,Duop Reath,POR,C,6'9",7'1",4
304,Jalen McDaniels,,PF,6'8.25",7'0.25",4
305,Saddiq Bey,WAS,SF,6'7",6'11",4
306,Tyler Smith,MIL,PF,6'9",7'1",4
